Filename,Percentage,DSE,n,p,iterations,iterations_ave
lattice_1000_static,50,175149.2417497409,60,2,"[191.0, 125.0]",158.0
lattice_1000_static,55,175149.2417497409,60,2,"[191.0, 125.0]",158.0
lattice_1000_static,60,247845.31934279288,84,3,"[92.0, 72.0]",82.0
lattice_1000_static,65,262264.5083268981,60,3,"[114.0, 80.0]",97.0
lattice_1000_static,70,262264.5083268981,60,3,"[114.0, 80.0]",97.0
lattice_1000_static,75,329915.30602786684,84,4,"[67.0, 51.0]",59.0
lattice_1000_static,80,330109.7850828104,84,4,"[67.0, 51.0]",59.0
lattice_1000_static,85,349075.6766977441,60,4,"[89.0, 74.0]",81.5
lattice_1000_static,90,349075.6766977441,60,4,"[89.0, 74.0]",81.5
lattice_1000_static,95,411860.32208261685,84,5,"[52.0, 39.0]",45.5
lattice_1000_static,100,411860.32208261685,84,5,"[52.0, 39.0]",45.5
