Filename,Percentage,DSE,stream_latency,n,p
line_1000_dynamic,50,167713.26906083172,0.0005783680715496451,97,1
line_1000_dynamic,55,300661.37413640163,0.0009113242457133648,137,2
line_1000_dynamic,60,331288.7825396161,0.0005855918166405201,97,2
line_1000_dynamic,65,334305.1897967671,0.0005803080715496451,97,2
line_1000_dynamic,70,334305.1897967671,0.0005803080715496451,97,2
line_1000_dynamic,75,443952.2071876566,0.0009257753274921148,137,3
line_1000_dynamic,80,478094.09258458036,0.0006086667970040202,97,3
line_1000_dynamic,85,497279.9253841214,0.00058518348548902,97,3
line_1000_dynamic,90,499786.97091345885,0.0005822480715496452,97,3
line_1000_dynamic,95,575668.0508462486,0.0009519374910496147,137,4
line_1000_dynamic,100,575668.0508462486,0.0009519374910496147,137,4
line_10000_dynamic,50,56235.7198167936,0.0049434772224073355,278,1
line_10000_dynamic,55,106418.77048245822,0.0038527037865710287,205,2
line_10000_dynamic,60,111553.38584474342,0.004410444347110634,246,2
line_10000_dynamic,65,111987.74141513908,0.00457192897660123,256,2
line_10000_dynamic,70,112345.08350081628,0.0049490372224073355,278,2
line_10000_dynamic,75,155372.41041916286,0.0037072218835124604,192,3
line_10000_dynamic,80,160551.66957120833,0.0038305425390000912,205,3
line_10000_dynamic,85,166614.87895781623,0.004321342754642523,240,3
line_10000_dynamic,90,167143.62439487904,0.004415364347110633,246,3
line_10000_dynamic,95,204411.11718054125,0.0037571342038196596,192,4
line_10000_dynamic,100,204411.11718054125,0.0037571342038196596,192,4
lattice_1000_dynamic,50,80974.99138025583,0.0007409695138866026,60,1
lattice_1000_dynamic,55,149358.55152893258,0.0011248100512507738,84,2
lattice_1000_dynamic,60,160921.90925144538,0.0007457033076366025,60,2
lattice_1000_dynamic,65,161688.12886369115,0.0007421695138866025,60,2
lattice_1000_dynamic,70,161688.12886369115,0.0007421695138866025,60,2
lattice_1000_dynamic,75,220986.23437466568,0.0011403425227507736,84,3
lattice_1000_dynamic,80,236518.92001097446,0.0007610384826366027,60,3
lattice_1000_dynamic,85,240995.05004143988,0.0007469033076366025,60,3
lattice_1000_dynamic,90,242140.68055992154,0.0007433695138866026,60,3
lattice_1000_dynamic,95,287246.3969924336,0.0011697274657507736,84,4
lattice_1000_dynamic,100,287246.3969924336,0.0011697274657507736,84,4
lattice_10000_dynamic,50,25988.119472214963,0.0071186374296066945,185,1
lattice_10000_dynamic,55,47297.109358985865,0.005116591759619301,121,2
lattice_10000_dynamic,60,48841.086040453556,0.005282437818567479,129,2
lattice_10000_dynamic,65,50495.62547338488,0.005743071746934842,145,2
lattice_10000_dynamic,70,51660.00569829914,0.006426634986045517,166,2
lattice_10000_dynamic,75,65725.98833427466,0.004701336683268455,103,3
lattice_10000_dynamic,80,71449.69473458744,0.005080497563333586,121,3
lattice_10000_dynamic,85,72209.81698981275,0.005151654103381555,124,3
lattice_10000_dynamic,90,75705.21039057465,0.005745971746934842,145,3
lattice_10000_dynamic,95,83740.25169707743,0.004585608380890522,96,4
lattice_10000_dynamic,100,83740.25169707743,0.004585608380890522,96,4
MITb_dynamic,50,177938.65365904052,0.0005338918669241788,95,1
MITb_dynamic,55,309503.39368978,0.0008723652325138159,135,2
MITb_dynamic,60,350911.3500863738,0.0005471467364983802,96,2
MITb_dynamic,65,354615.3118947723,0.0005357918669241788,95,2
MITb_dynamic,70,354615.3118947723,0.0005357918669241788,95,2
MITb_dynamic,75,456655.7343192575,0.0008868825453461975,135,3
MITb_dynamic,80,504759.3417552854,0.0005646255084827575,95,3
MITb_dynamic,85,526819.8597406277,0.0005466764296657167,96,3
MITb_dynamic,90,530043.352952907,0.0005376918669241788,95,3
MITb_dynamic,95,591316.0824628413,0.0009132171710109608,135,4
MITb_dynamic,100,591316.0824628413,0.0009132171710109608,135,4
M3500_dynamic,50,57380.27186173371,0.0021958766647815074,126,1
M3500_dynamic,55,113010.51604206844,0.002194486041526272,124,2
M3500_dynamic,60,114628.9948656948,0.0021983966647815077,126,2
M3500_dynamic,65,114628.9948656948,0.0021983966647815077,126,2
M3500_dynamic,70,114628.9948656948,0.0021983966647815077,126,2
M3500_dynamic,75,167766.0120961802,0.0021994919911933796,123,3
M3500_dynamic,80,171393.7757154682,0.002187944097938187,125,3
M3500_dynamic,85,171746.62087331933,0.0022009166647815074,126,3
M3500_dynamic,90,171746.62087331933,0.0022009166647815074,126,3
M3500_dynamic,95,219460.08674637965,0.0021871858665339673,120,4
M3500_dynamic,100,219460.08674637965,0.0021871858665339673,120,4
Intel_dynamic,50,87034.62981330394,0.0010570505119324018,92,1
Intel_dynamic,55,169359.4159928056,0.0012517756911077551,106,2
Intel_dynamic,60,172308.91082413556,0.0010562425305198262,91,2
Intel_dynamic,65,173766.78507035895,0.0010588905119324017,92,2
Intel_dynamic,70,173766.78507035895,0.0010588905119324017,92,2
Intel_dynamic,75,250955.06662706856,0.0012552047832056937,105,3
Intel_dynamic,80,257112.61063895104,0.001236812147057811,106,3
Intel_dynamic,85,258977.54886263298,0.0010541454315208026,91,3
Intel_dynamic,90,260198.03983689778,0.0010607305119324016,92,3
Intel_dynamic,95,327260.7895561065,0.0012833801463648735,105,4
Intel_dynamic,100,327260.7895561065,0.0012833801463648735,105,4
Ais2klinik_dynamic,50,41273.98577116769,0.007777295892373869,321,1
Ais2klinik_dynamic,55,71055.74393520881,0.0052071793145587126,185,2
Ais2klinik_dynamic,60,77394.9699492391,0.00576264840328147,223,2
Ais2klinik_dynamic,65,79695.31263664321,0.006173512390160104,246,2
Ais2klinik_dynamic,70,82001.65838292892,0.007024248184228327,288,2
Ais2klinik_dynamic,75,102514.12785700467,0.005062716825957343,173,3
Ais2klinik_dynamic,80,107028.66081807212,0.005185526902400394,185,3
Ais2klinik_dynamic,85,114697.46941722417,0.005649645134216793,216,3
Ais2klinik_dynamic,90,117343.01610910974,0.005905762634868902,231,3
Ais2klinik_dynamic,95,135407.0422182025,0.0051105170651676475,173,4
Ais2klinik_dynamic,100,135407.0422182025,0.0051105170651676475,173,4
